,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Age Chart-value,Age Chart-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(State Population)-alias,SUM(Total PTSD Responses)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Alaska,Alaska,1027,732673,1135,140.17167276534005,140.17167276534005,140.2
1,%null%,%null%,True,True,Arkansas,Arkansas,3335,3025891,3575,110.21547041846517,110.21547041846517,110.2
2,%null%,%null%,True,True,West Virginia,West Virginia,1836,1782959,1959,102.9748861303036,102.9748861303036,103.0
3,%null%,%null%,True,True,Oklahoma,Oklahoma,3972,3986639,4265,99.63279845503945,99.63279845503945,99.6
4,%null%,%null%,True,True,Indiana,Indiana,6663,6805985,7189,97.89912848764727,97.89912848764727,97.9
5,%null%,%null%,True,True,Kentucky,Kentucky,4248,4509394,4571,94.20334528320214,94.20334528320214,94.2
6,%null%,%null%,True,True,Wyoming,Wyoming,532,578803,585,91.91382905755499,91.91382905755499,91.9
7,%null%,%null%,True,True,Maine,Maine,1243,1372247,1366,90.58136035276449,90.58136035276449,90.6
8,%null%,%null%,True,True,Colorado,Colorado,5245,5812069,5749,90.24325072534411,90.24325072534411,90.2
9,%null%,%null%,True,True,South Dakota,South Dakota,788,895376,850,88.0077196619074,88.0077196619074,88.0
10,%null%,%null%,True,True,Utah,Utah,2933,3337975,3198,87.86764430530486,87.86764430530486,87.9
11,%null%,%null%,True,True,Mississippi,Mississippi,2562,2949965,2753,86.84848803290888,86.84848803290888,86.8
12,%null%,%null%,True,True,Ohio,Ohio,10103,11780017,10928,85.7638830232588,85.7638830232588,85.8
13,%null%,%null%,True,True,Oregon,Oregon,3626,4246155,3954,85.39490433109484,85.39490433109484,85.4
14,%null%,%null%,True,True,Tennessee,Tennessee,5933,6975218,6373,85.05827344751089,85.05827344751089,85.1
15,%null%,%null%,True,True,Iowa,Iowa,2713,3193079,2942,84.96501339302911,84.96501339302911,85.0
16,%null%,%null%,True,True,Kansas,Kansas,2493,2934582,2688,84.95247364019816,84.95247364019816,85.0
17,%null%,%null%,True,True,Delaware,Delaware,852,1003384,922,84.91265557353914,84.91265557353914,84.9
18,%null%,%null%,True,True,Montana,Montana,929,1104271,998,84.12789976373553,84.12789976373553,84.1
19,%null%,%null%,True,True,Missouri,Missouri,5132,6168187,5552,83.201109175192,83.201109175192,83.2
20,%null%,%null%,True,True,North Dakota,North Dakota,633,774948,700,81.68290001393642,81.68290001393642,81.7
21,%null%,%null%,True,True,Washington,Washington,6218,7738692,6724,80.34949575457972,80.34949575457972,80.3
22,%null%,%null%,True,True,Idaho,Idaho,1524,1900923,1657,80.17157980623098,80.17157980623098,80.2
23,%null%,%null%,True,True,Minnesota,Minnesota,4543,5707390,4939,79.59855555691831,79.59855555691831,79.6
24,%null%,%null%,True,True,Vermont,Vermont,505,645570,564,78.22544418111127,78.22544418111127,78.2
25,%null%,%null%,True,True,New Hampshire,New Hampshire,1058,1388992,1142,76.17034511357876,76.17034511357876,76.2
26,%null%,%null%,True,True,Alabama,Alabama,3797,5039877,4162,75.3391402210808,75.3391402210808,75.3
27,%null%,%null%,True,True,Arizona,Arizona,5458,7276316,5997,75.01048607564597,75.01048607564597,75.0
28,%null%,%null%,True,True,Nebraska,Nebraska,1455,1963692,1587,74.09512286040786,74.09512286040786,74.1
29,%null%,%null%,True,True,Michigan,Michigan,7346,10050811,8055,73.08862936533181,73.08862936533181,73.1
30,%null%,%null%,True,True,Virginia,Virginia,6173,8642274,6720,71.42795981705741,71.42795981705741,71.4
31,%null%,%null%,True,True,Wisconsin,Wisconsin,4145,5895908,4564,70.30299658678528,70.30299658678528,70.3
32,%null%,%null%,True,True,Pennsylvania,Pennsylvania,9054,12964056,9888,69.83925401124462,69.83925401124462,69.8
33,%null%,%null%,True,True,South Carolina,South Carolina,3493,5190705,3776,67.29336381088889,67.29336381088889,67.3
34,%null%,%null%,True,True,Nevada,Nevada,2112,3143991,2300,67.17576481612066,67.17576481612066,67.2
35,%null%,%null%,True,True,Georgia,Georgia,7137,10799566,7783,66.08598901103989,66.08598901103989,66.1
36,%null%,%null%,True,True,New Mexico,New Mexico,1398,2115877,1524,66.07189359305858,66.07189359305858,66.1
37,%null%,%null%,True,True,North Carolina,North Carolina,6898,10551162,7502,65.37668552525304,65.37668552525304,65.4
38,%null%,%null%,True,True,Connecticut,Connecticut,2284,3605597,2534,63.34595907418383,63.34595907418383,63.3
39,%null%,%null%,True,True,District of Columbia,District of Columbia,421,670050,480,62.83113200507425,62.83113200507425,62.8
40,%null%,%null%,True,True,Texas,Texas,18432,29527941,20058,62.42223255593744,62.42223255593744,62.4
41,%null%,%null%,True,True,Illinois,Illinois,7862,12671469,8629,62.04489787253553,62.04489787253553,62.0
42,%null%,%null%,True,True,Hawaii,Hawaii,860,1441553,948,59.65788285272897,59.65788285272897,59.7
43,%null%,%null%,True,True,Florida,Florida,12672,21781128,13853,58.17880506464128,58.17880506464128,58.2
44,%null%,%null%,True,True,Massachusetts,Massachusetts,4022,6984723,4401,57.582813233967904,57.582813233967904,57.6
45,%null%,%null%,True,True,Maryland,Maryland,3510,6165129,3881,56.93311526814767,56.93311526814767,56.9
46,%null%,%null%,True,True,Louisiana,Louisiana,2607,4624047,2867,56.37918472714485,56.37918472714485,56.4
47,%null%,%null%,True,True,Rhode Island,Rhode Island,615,1095610,664,56.133113060304304,56.133113060304304,56.1
48,%null%,%null%,True,True,California,California,21967,39237836,24318,55.98422909968838,55.98422909968838,56.0
49,%null%,%null%,True,True,New York,New York,10289,19835913,11349,51.87056426391868,51.87056426391868,51.9
50,%null%,%null%,True,True,New Jersey,New Jersey,4308,9267130,4777,46.48688428887908,46.48688428887908,46.5
